Programa De Estudio,Ramos Matematicos,Ramos de Ingles,Ramos de Lenguaje
Administración De Empresas,3,1,1
Analista Programador,2,1,1
Construcción Civil,3,3,1
Diseño Digital Y Web,2,1,1
Gastronomía,1,1,1
Ingeniería Agrícola,4,3,1
Ingeniería En Administración De Empresas,5,3,1
Ingeniería En Mecánica Y Electromovilidad Automotriz,4,3,1
Técnico Agrícola,2,1,1
Técnico En Administración Pública,3,1,1
Técnico En Construcción,2,1,1
Técnico En Enfermería,1,1,1
Técnico En Farmacia,1,1,1
Técnico En Mecánica Y Electromovilidad Automotriz,2,1,1
Técnico En Odontología,1,1,1
Técnico En Prevención De Riesgos Y Gestión De Emergencias,2,1,1
